,pts,pts,pts,pts,ast,ast,ast,ast,trb,trb,trb,trb,blk,blk,blk,blk
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
season,,,,,,,,,,,,,,,,
2012,415.1,308.5,0.0,2362.0,90.96,47.0,0.0,708.0,182.72,138.0,0.0,1060.0,22.27,12.0,0.0,264.0
2013,519.09,388.0,0.0,2732.0,118.28,64.0,0.0,1036.0,222.34,165.0,0.0,956.0,26.88,14.0,0.0,242.0
2014,550.99,422.0,0.0,2914.0,121.04,70.0,0.0,721.0,233.06,183.5,0.0,1320.0,25.34,15.0,0.0,219.0
2015,548.57,435.0,0.0,2336.0,122.97,74.5,0.0,1076.0,235.43,185.5,0.0,1342.0,25.72,14.0,0.0,232.0
2016,560.7,472.5,0.0,2376.0,123.29,77.5,0.0,1004.0,237.93,191.0,0.0,1198.0,26.65,16.0,0.0,269.0
2017,578.82,444.0,0.0,3884.0,123.22,76.5,0.0,907.0,239.36,190.0,0.0,1588.0,26.19,16.0,0.0,248.0
2018,520.67,388.0,0.0,2972.0,113.32,68.5,0.0,820.0,211.95,159.0,0.0,1247.0,23.12,13.0,0.0,193.0
2019,572.22,427.5,0.0,3288.0,124.9,81.5,0.0,784.0,233.57,183.0,0.0,1804.0,25.01,15.0,0.0,199.0
2020,455.22,323.0,0.0,2350.0,98.48,56.0,0.0,684.0,184.07,131.0,0.0,1728.0,20.28,12.0,0.0,196.0
2021,473.32,354.0,0.0,3278.0,105.0,68.5,0.0,763.0,189.14,150.0,0.0,1634.0,20.94,12.0,0.0,190.0
2022,476.37,333.0,0.0,2864.0,107.47,63.0,0.0,1334.0,192.7,141.0,0.0,1360.0,20.4,12.0,0.0,182.0
2023,573.94,412.5,0.0,3342.0,127.59,74.0,0.0,1102.0,218.11,176.0,0.0,1400.0,23.19,13.0,0.0,193.0
2024,519.79,334.0,0.0,3474.0,122.74,73.0,0.0,976.0,199.15,148.0,0.0,1130.0,23.46,14.0,0.0,254.0
